Player,Team,Position,Total AV,School,College Gms,Yrs at College,Avg Pos Rk,Rd Drafted,Pos # Dr.,Org AllPro at Pos,Avg rk contract,First Start,Team Playoffs?,Arms,Hands,Bench Press,40 (Official),Vertical,Broad,3 Cone,20 Yard Shuttle
Devante Bond,TB,LB,4,1,32,4,31,6,21,8,0.621,4,10,32.38,9.25,21,4.7,37.5,121,7.07,4.36
Brandon Allen,JAX,QB,4,1,42,2,8,6,12,0,0.616,4,8,31.75,8.88,,4.84,28,110,7.06,
Jordan Lucas,MIA,S,4,1,46,1,16,6,14,4,0.615,4,7,30.13,10.00,,4.45,38.5,130,6.7,4.19
Dwayne Washington,DET,RB,4,1,34,0,23,7,16,9,0.604,2,1,32.38,9.88,,4.48,37.5,127,6.85,4.22
Lawrence Thomas,NYJ,DE,4,1,46,2,23,8,19,6,0.545,1,5,33.25,10.13,,4.98,35,113,,
Terrance Smith,KC,LB,4,1,45,2,26,8,34,12,0.545,2,0,32.75,9.88,19,4.77,34.5,120,7.14,4.49
Kevin Peterson,CHI,CB,4,1,50,1,22,8,31,1,0.540,4,5,30.50,8.88,14,4.66,35.5,121,6.94,4.31
Roger Lewis,NYG,WR,4,2,28,4,26,8,31,0,0.546,2,4,32.00,9.75,8,4.57,33.5,116,,
Ricardo Louis,CLE,WR,3,1,50,1,47,4,11,2,0.727,2,13,32.38,9.50,18,4.43,38,132,7.07,4.32
Jonathan Williams,BUF,RB,3,1,37,1,8,5,11,7,0.645,4,16,31.63,10.00,16,,,,,
Blake Countess,PHI,CB,3,1,51,2,40,6,25,3,0.618,2,2,28.75,8.50,,4.53,36.5,121,6.82,4.15
Cody Core,CIN,WR,3,1,51,1,43,6,22,2,0.617,2,0,32.00,10.38,14,4.47,31.5,109,6.78,4.34
Maurice Canady,BAL,CB,3,1,44,1,16,6,27,1,0.610,4,1,31.63,9.13,16,4.49,38,124,7.03,4.09
Kavon Frazier,DAL,S,3,2,50,1,17,6,15,8,0.610,4,1,32.25,9.00,18,4.58,40.5,128,6.88,4.4
Kevon Seymour,BUF,CB,3,1,45,1,24,6,28,4,0.610,2,16,30.75,9.00,12,4.39,35,124,,4.18
Reid Ferguson,BUF,LS,3,1,51,1,1,8,1,0,0.540,1,16,30.13,9.88,15,5.08,27.5,104,7.59,4.63
Chris Milton,IND,CB,3,1,53,2,40,8,31,1,0.540,2,1,32.75,9.63,13,4.4,34,123,7.15,4.4
Kalif Raymond,DEN,WR,3,3,40,1,65,8,31,3,0.541,4,0,,,,,,,,
James Cowser,OAK,LB,3,3,37,0,18,8,34,3,0.540,5,13,32.88,10.25,24,4.73,34,116,,
Johnny Holton,OAK,WR,3,2,20,4,45,8,31,5,0.542,4,13,32.88,9.88,8,4.54,31.5,123,,
Jaydon Mickens,OAK,WR,3,1,53,1,38,8,31,5,0.540,4,13,28.88,9.00,13,4.54,35.5,121,6.62,3.93
Charles Washington,DET,CB,3,2,51,2,40,8,31,2,0.540,5,1,30.38,9.63,18,4.48,41,125,7.23,4.48
Destiny Vaeao,PHI,DT,3,1,41,1,24,8,23,4,0.543,4,2,32.50,10.00,27,5.21,35.5,108,7.73,4.56
Maurice Harris,WSH,WR,3,1,42,2,65,8,31,3,0.541,4,0,,,,,,,,
Tommylee Lewis,NO,WR,3,2,49,2,65,8,31,1,0.542,2,2,29.38,8.13,11,4.48,34,120,7.13,4.22
Isaiah Johnson,TB,CB,3,1,45,2,39,8,31,3,0.541,4,10,,,,,,,,
Davonte Lambert,TB,DT,3,1,43,4,28,8,23,5,0.540,2,10,,,,,,,,
Leonard Wester,TB,T,3,1,40,1,31,8,20,0,0.547,4,10,34.00,9.63,20,5.17,29,108,7.92,4.73
Kameron Canaday,ARZ,LS,3,3,41,1,1,8,1,0,0.540,2,0,33.13,9.38,12,5.16,33,113,,4.63
Paxton Lynch,DEN,QB,2,2,37,0,3,1,2,2,2.369,2,0,34.25,10.25,,4.86,36,118,7.14,
Kevin Dodd,TEN,DE,2,1,39,1,5,2,4,2,1.638,2,7,34.00,10.00,,4.86,30.5,110,7.18,4.44
Will Redmond,SF,CB,2,1,27,1,10,3,9,8,0.885,4,2,30.38,9.13,,,,,,
Bronson Kaufusi,BAL,DE,2,2,49,1,10,3,10,1,0.864,2,1,34.50,9.75,25,4.87,30,111,7.03,4.25
KeiVarae Russell,KC,CB,2,1,37,1,9,3,10,4,0.841,4,0,31.63,10.00,17,4.49,38.5,134,6.84,4
Braxton Miller,HOU,WR,2,1,49,2,8,3,7,3,0.779,1,0,31.75,9.13,17,4.5,35,123,6.65,4.07
Leonte Carroo,MIA,WR,2,1,42,1,9,3,8,3,0.775,1,7,31.38,9.63,14,4.5,35.5,120,,
Vincent Valentine,NE,DT,2,1,35,1,22,3,13,1,0.758,2,0,33.13,9.63,17,5.19,29,110,8.03,4.59
Jerald Hawkins,PIT,T,2,1,38,1,11,4,9,0,0.718,4,0,34.25,9.63,23,5.23,23.5,100,8.19,4.89
Deiondre' Hall,CHI,CB,2,3,40,0,17,4,18,1,0.713,5,5,34.38,9.75,,4.68,37,,7.07,4.06
Christian Westerman,CIN,G,2,1,28,2,3,5,8,0,0.643,4,0,33.50,11.88,34,5.17,25,98,7.69,4.71
Kevin Hogan,KC,QB,2,1,51,1,8,5,9,1,0.649,4,0,32.38,10.25,,4.78,32.5,113,6.9,4.31
Trevor Davis,GB,WR,2,1,38,2,39,5,16,5,0.642,4,0,31.00,10.00,11,4.42,38.5,124,6.6,4.22
Antwione Williams,DET,LB,2,2,39,1,38,5,18,1,0.636,2,1,33.63,9.75,23,4.8,35,118,7.03,4.58
Cole Toner,ARZ,T,2,3,26,0,17,5,17,3,0.631,4,0,33.13,9.75,22,5.32,26,103,7.88,4.59
Andy Janovich,DEN,FB,2,1,50,1,2,6,0,0,0.626,2,0,31.25,9.75,30,4.81,34,119,7.28,4.32
Jerell Adams,NYG,TE,2,1,47,1,4,6,6,3,0.621,2,4,34.38,9.75,,4.64,32.5,117,7.05,4.31
Josh Forrest,LAR,LB,2,1,45,2,26,6,22,3,0.619,2,11,33.50,9.50,11,4.91,30.5,118,7.53,4.38
Kyle Murphy,GB,T,2,1,54,1,9,6,19,2,0.617,3,0,33.50,9.75,23,,,,,
Harlan Miller,ARZ,CB,2,3,36,0,15,6,26,9,0.615,2,0,30.88,8.38,6,4.65,35.5,118,7.44,4.43
Mike Thomas,LAR,WR,2,2,24,4,30,6,23,5,0.614,4,11,31.38,9.38,,4.54,36,126,7.06,4.26
Anthony Fabiano,BAL,G,2,3,22,0,30,8,14,2,0.543,2,1,32.25,9.38,25,5.04,32.5,108,7.41,4.42
Tracy Howard,CLE,CB,2,1,51,1,40,8,31,3,0.543,2,13,31.38,9.00,14,4.6,36,122,7.3,4.43
Justin Zimmer,BUF,DT,2,4,42,1,28,8,23,2,0.540,5,16,31.38,10.13,44,4.91,32,117,7.09,4.42
Lafayette Pitts,MIA,CB,2,1,52,2,38,8,31,3,0.540,5,7,29.63,9.00,12,4.46,33.5,122,6.81,4.27
Woodrow Hamilton,NE,DT,2,1,48,2,28,8,23,1,0.540,2,0,,,,,,,,
Doug Middleton,NYJ,S,2,2,37,2,24,8,20,0,0.545,4,5,30.13,8.88,18,4.5,38.5,131,6.93,4.38
Ufomba Kamalu,HOU,DE,2,1,35,4,22,8,19,4,0.542,2,0,35.00,10.00,26,5.01,25,106,7.32,4.58
Zach Sterup,KC,T,2,1,33,1,31,8,20,7,0.540,2,0,33.63,9.50,27,5.04,28,104,7.51,4.79
Antonio Hamilton,OAK,CB,2,3,51,2,40,8,31,12,0.542,4,13,30.00,8.25,14,4.46,38,132,6.97,4.27
Denver Kirkland,OAK,G,2,1,37,0,14,8,14,7,0.495,2,13,34.63,9.63,19,5.55,22.5,94,8.72,5.06
Darius Latham,OAK,DT,2,1,35,0,28,8,23,5,0.543,2,13,34.75,10.00,19,5.32,29,100,7.76,4.63
Tony McRae,OAK,CB,2,3,46,1,40,8,31,12,0.540,4,13,29.25,9.00,13,4.56,36.5,125,7.55,4.33
Kenneth Farrow,SD,RB,2,2,48,2,36,8,20,4,0.542,2,2,31.38,9.50,23,4.59,38,122,6.95,4.14
Chris Landrum,SD,LB,2,3,39,2,43,8,34,7,0.540,5,2,,,17,4.79,31,113,7.29,4.62
Marwin Evans,GB,S,2,2,27,4,24,8,20,8,0.540,4,0,32.25,8.75,19,4.47,42,121,7.26,4.27
Josh Hawkins,GB,CB,2,2,50,2,40,8,31,6,0.542,4,0,32.50,8.00,14,4.39,40.5,125,7.22,4.09
Brian Price,GB,DT,2,2,40,4,28,8,23,0,0.540,4,0,30.63,9.38,20,5.17,27,103,8.22,4.72
Jake Brendel,DAL,C,2,1,52,2,12,8,7,0,0.540,4,1,31.63,9.00,25,5.01,28,108,7.31,4.27
Anthony Lanier,WSH,DE,2,3,35,1,23,8,19,1,0.543,4,0,,,,,,,,
Jared Norris,CAR,LB,2,1,41,2,28,8,34,7,0.547,5,0,31.50,10.13,19,4.8,29.5,114,,4.52
Elijhaa Penny,ARZ,RB,2,2,23,4,36,8,20,2,0.540,4,0,30.25,9.13,21,4.81,28.5,108,7.2,4.55
Bryce Treggs,SF,WR,2,1,46,1,57,8,31,18,0.540,2,2,30.88,9.13,16,4.39,34,122,7,4.19
Steve Longa,SEA,LB,2,1,37,1,33,8,34,4,0.540,5,0,32.00,9.75,19,4.78,32,116,7.5,4.56
Tanner McEvoy,SEA,S,2,1,38,1,24,8,20,6,0.540,5,0,,,17,,33.5,117,7,4.29
Joshua Perry,SD,LB,1,1,48,1,8,4,11,7,0.739,2,2,33.88,10.25,20,4.68,33.5,124,7.21,4.35
Tyler Ervin,HOU,RB,1,2,47,2,17,4,4,2,0.722,5,0,29.75,9.13,17,4.41,39,130,,
Zack Sanchez,CAR,CB,1,1,37,1,13,5,20,1,0.653,2,0,31.38,9.38,19,4.5,35.5,116,7.12,4.51
John Theus,SF,T,1,1,53,1,16,5,11,3,0.649,2,2,34.50,10.13,19,5.22,28,103,7.9,4.78
D.J. White,KC,CB,1,1,47,1,19,6,23,4,0.631,5,0,31.50,9.25,17,4.49,33,132,7.18,4.33
Tyrone Holmes,JAX,LB,1,3,40,0,36,6,20,1,0.622,5,8,32.00,9.50,,4.59,37.5,113,7,4.3
Nate Sudfeld,WSH,QB,1,1,38,1,13,6,10,1,0.619,5,0,34.25,9.88,,4.93,29,105,7.42,4.48
David Morgan,MIN,TE,1,2,32,1,18,6,7,0,0.619,4,0,33.63,10.50,29,5.02,30,115,6.93,4.19
Danny Vitale,TB,FB,1,1,50,1,1,6,1,3,0.618,2,10,31.75,9.75,30,4.6,38.5,123,7.12,4.12
Derek Watt,SD,FB,1,1,48,2,2,6,2,0,0.617,2,2,31.00,10.13,,4.75,33.5,116,,4.29
Dadi Nicolas,KC,DE,1,1,49,2,17,6,16,3,0.623,5,0,34.75,10.38,14,4.74,41,116,7.04,4.38
Aaron Burbridge,SF,WR,1,1,50,1,14,6,24,18,0.610,2,2,31.63,8.25,20,4.56,30.5,115,7.22,4.31
Aaron Wallace,TEN,LB,1,1,49,2,22,7,27,7,0.607,5,7,31.75,9.38,,4.59,36,130,7.45,4.27
Jonathan Woodard,JAX,DE,1,3,35,0,23,7,17,0,0.606,5,8,34.00,9.50,,4.89,34,117,7.08,4.4
Trevor Bates,IND,LB,1,3,35,2,43,7,30,3,0.603,5,1,32.50,9.75,,4.78,33.5,118,6.75,4.25
Charone Peake,NYJ,WR,1,1,51,2,16,7,29,2,0.602,2,5,34.00,9.25,12,4.45,35.5,122,6.96,4.46
Scooby Wright III,CLE,LB,1,1,30,0,21,7,32,2,0.600,5,13,30.50,9.75,22,4.9,31,113,7.25,4.47
Dominque Alexander,CLE,LB,1,1,39,0,17,8,34,2,0.546,5,13,32.25,9.00,17,4.76,28.5,104,7.84,4.57
J.P. Holtz,CLE,TE,1,1,52,1,25,8,11,1,0.540,4,13,33.50,9.88,20,4.79,33,112,6.92,4.33
DJ Foster,NE,WR,1,1,53,1,35,8,31,3,0.540,5,0,30.50,9.25,14,4.57,35.5,117,6.75,4.07
Jalin Marshall,NYJ,WR,1,1,27,0,18,8,31,2,0.544,2,5,31.50,9.63,16,4.6,37.5,125,6.8,4.13
Wendall Williams,HOU,WR,1,4,29,2,65,8,31,3,0.542,5,0,,,,,,,,
Josh Ferguson,IND,RB,1,1,47,2,16,8,20,4,0.543,5,1,30.00,9.00,21,4.48,34.5,120,,
Curt Maggitt,IND,LB,1,1,35,2,34,8,34,3,0.540,5,1,33.00,10.13,,,,,,
Adam Redmond,IND,T,1,3,29,0,31,8,20,2,0.540,5,1,33.25,10.50,,,,,,
Tyler Marz,TEN,T,1,1,51,2,21,8,20,3,0.540,4,7,33.50,10.00,19,5.54,27.5,99,8.38,4.97
Aaron Neary,DEN,C,1,3,46,1,19,8,7,2,0.540,4,0,32.63,9.75,26,5.15,28.5,104,7.53,4.47
Kyle Peko,DEN,DT,1,1,12,4,25,8,23,1,0.540,5,0,32.75,9.25,31,5.13,32.5,116,7.3,4.5
Andy Jones,DAL,WR,1,3,41,1,65,8,31,6,0.545,5,1,32.00,9.38,11,4.55,41.5,133,6.97,4.35
Deon King,DAL,LB,1,3,46,1,43,8,34,10,0.542,5,1,30.88,9.25,,4.7,32.5,121,7.25,4.4
Austin Traylor,DAL,TE,1,1,38,2,25,8,11,3,0.540,4,1,32.75,9.25,16,4.91,33.5,113,7.44,4.7
C.J. Smith,PHI,CB,1,2,58,1,40,8,31,3,0.542,5,2,31.63,9.50,7,4.57,39,131,7,4.31
Paul Turner,PHI,WR,1,2,31,2,65,8,31,3,0.541,2,2,30.63,9.50,18,4.55,39,122,7.25,4.31
Josh Perkins,ATL,TE,1,1,47,2,25,8,11,1,0.541,4,3,32.63,9.13,12,4.65,34,126,7.04,4.38
Jeremy Cash,CAR,S,1,1,44,2,6,8,20,0,0.547,5,0,32.38,10.50,,,,,,
Trae Elston,NO,S,1,1,50,1,23,8,20,1,0.540,4,2,29.13,8.88,,4.5,34.5,119,7.34,4.5
Landon Turner,NO,G,1,1,49,2,8,8,14,4,0.542,4,2,32.88,10.38,30,5.58,19,88,,
Channing Ward,TB,DT,1,1,51,1,28,8,23,5,0.540,2,10,31.50,9.13,,4.76,26.5,105,7.46,4.59
Duke Williams,LAR,WR,1,1,35,4,34,8,31,5,0.540,4,11,32.50,9.25,14,4.72,30,121,7.43,4.47
DeAndre Elliot,SEA,CB,1,2,47,2,28,8,31,1,0.543,5,0,,,,4.55,,,,3.94
Tre Madden,SEA,RB,1,1,33,2,22,8,20,3,0.540,3,0,29.75,9.38,24,4.6,33.5,120,7.09,4.27
Tyvis Powell,SEA,S,1,1,41,1,14,8,20,6,0.540,4,0,32.75,9.50,15,4.46,34.5,120,7.03,4.25
Christian Hackenberg,NYJ,QB,0,1,35,0,5,2,3,1,1.165,5,5,32.00,9.00,,4.78,31,114,7.04,
Roberto Aguayo,TB,K,0,1,41,1,1,2,0,0,1.013,1,10,31.75,9.88,,,,,,
Max Tuerk,SD,C,0,1,45,1,3,3,2,0,0.894,5,2,32.50,10.75,22,,,,,
Connor Cook,OAK,QB,0,1,43,2,4,4,6,5,0.740,5,13,33.00,9.75,,4.79,33,113,7.21,
Charles Tapper,DAL,DE,0,1,44,1,23,4,12,5,0.739,5,1,34.38,11.50,23,4.59,34,119,,
Willie Beavers,MIN,T,0,2,46,2,14,4,8,9,0.719,5,0,33.50,9.50,20,5.28,25.5,103,7.96,4.71
Cardale Jones,BUF,QB,0,1,22,1,7,4,8,1,0.681,5,16,33.75,9.75,,4.81,36,,,
Jordan Payton,CLE,WR,0,1,52,1,31,5,15,2,0.646,5,13,32.50,10.13,,4.47,34.5,121,7.08,4.33
K.J. Dillon,HOU,S,0,1,48,1,15,5,11,0,0.644,5,0,31.63,9.63,11,4.53,28,121,7.27,4.43
Trey Caldwell,CLE,CB,0,2,48,1,40,5,22,3,0.631,5,13,29.63,9.00,,4.51,33.5,114,6.6,4.19
Fahn Cooper,SF,T,0,1,41,2,19,5,18,3,0.631,5,2,34.75,10.00,19,5.17,25,102,7.85,4.89
Temarrick Hemingway,LAR,TE,0,3,23,0,20,6,5,0,0.625,5,11,34.00,10.00,18,4.72,30.5,115,6.88,4.31
Moritz Boehringer,MIN,WR,0,X,0,X,65,6,19,6,0.623,5,0,32.63,9.50,,4.49,39,131,6.64,4.09
Keenan Reynolds,BAL,RB,0,2,50,1,19,6,13,4,0.621,5,1,30.25,8.63,,4.57,37,120,,
Jake Rudock,DET,QB,0,1,39,2,17,6,11,0,0.618,5,1,31.38,9.63,,4.88,29,111,7.09,4.22
Kolby Listenbee,BUF,WR,0,1,40,1,28,6,21,0,0.618,5,16,31.38,8.25,15,4.35,35.5,129,,
Sebastian Tretola,TEN,G,0,1,37,1,11,6,9,10,0.618,5,7,31.50,10.38,22,5.45,23.5,90,7.94,5.02
Jimmy Landes,DET,LS,0,1,40,1,1,6,0,0,0.610,5,1,30.38,9.63,,5,27.5,110,7.05,4.38
Kelvin Taylor,SF,RB,0,1,36,0,14,6,14,1,0.610,5,2,29.25,8.25,15,4.6,32,113,7.23,4.56
Darius Jackson,DAL,RB,0,2,43,1,36,6,15,7,0.610,5,1,31.63,8.63,,4.4,41,133,6.87,4.29
Rico Gathers,DAL,TE,0,1,0,1,25,6,8,3,0.610,4,1,,,,4.79,,115,,4.56
Travis Feeney,PIT,LB,0,1,52,2,25,6,26,23,0.610,5,0,33.38,9.50,,4.5,40,130,7.2,4.42
Brandon Doughty,MIA,QB,0,2,44,2,14,7,14,6,0.607,5,7,32.00,9.13,,5.22,27,103,7.49,
Donavon Clark,SD,G,0,1,47,2,30,7,12,3,0.607,5,2,32.75,10.13,,5.19,27,102,7.6,4.72
Devin Lucien,NE,WR,0,1,47,2,44,7,25,3,0.606,5,0,31.88,10.13,,4.49,34.5,117,6.93,4.3
Demarcus Ayers,PIT,WR,0,2,40,0,48,7,26,5,0.605,2,0,31.25,9.25,,4.72,33,123,7.3,4.35
Daniel Braverman,CHI,WR,0,2,37,1,19,7,27,2,0.605,5,5,28.75,9.13,,4.53,28.5,112,6.88,4.16
Thomas Duarte,MIA,TE,0,1,38,0,7,7,9,0,0.605,5,7,33.00,10.00,12,4.72,33.5,118,6.97,4.24
Steven Daniels,WSH,LB,0,1,46,1,30,7,29,5,0.604,5,0,32.63,10.00,16,4.86,32,112,7.33,4.54
Daniel Lasco,NO,RB,0,1,42,1,11,7,17,1,0.604,5,2,32.00,9.13,23,4.46,41.5,135,7.22,4.26
Devin Fuller,ATL,WR,0,1,45,1,62,7,28,4,0.603,5,3,30.50,9.50,,4.39,36,124,7.03,4.07
Alex McCalister,PHI,DE,0,1,29,1,14,7,18,9,0.603,5,2,36.00,9.38,,4.8,34.5,128,7.01,4
Keith Marshall,WSH,RB,0,1,33,1,13,7,18,4,0.601,5,0,31.63,9.00,25,4.31,30.5,,6.98,4.25
Kenny Lawler,SEA,WR,0,1,35,1,17,7,30,2,0.601,5,0,33.38,10.50,,4.64,31,111,7.13,4.2
Zac Brooks,SEA,RB,0,1,32,1,36,7,19,3,0.601,5,0,31.50,8.75,,4.49,36,129,7.09,4.38
Prince Charles Iworah,SF,CB,0,2,40,1,40,7,29,8,0.600,5,2,31.63,9.50,,4.34,38.5,128,7.12,4.52
Beau Sandland,CAR,TE,0,3,21,4,6,7,10,0,0.600,5,0,34.25,10.13,23,4.74,35,124,7.1,4.33
Kalan Reed,TEN,CB,0,2,47,1,26,7,30,5,0.600,5,7,31.38,9.00,,4.49,41.5,122,7.05,4.17
Victor Ochi,BAL,DE,0,3,32,0,16,8,19,1,0.540,5,1,33.75,10.13,,4.86,32,119,7.24,4.4
Darius Hillary,CIN,CB,0,1,54,2,40,8,31,3,0.540,5,0,31.00,9.63,8,4.55,35,130,6.99,4.34
Alonzo Russell,CIN,WR,0,2,50,1,52,8,31,2,0.540,5,0,33.88,9.50,12,4.54,29.5,112,7.18,4.33
Johnny Maxey,PIT,DE,0,4,45,2,23,8,19,2,0.540,5,0,,,,,,,,
Bryson Albright,BUF,DE,0,2,48,1,23,8,19,10,0.540,5,16,32.38,10.25,18,4.89,33,121,6.87,4.25
Glenn Gronkowski,BUF,FB,0,1,39,1,4,8,3,0,0.545,5,16,30.75,9.50,17,4.71,33,120,7.1,4.45
Marshall Koehn,MIA,K,0,1,29,2,5,8,1,4,0.540,4,7,32.25,9.50,,4.61,,,,
Rashawn Scott,MIA,WR,0,1,32,2,45,8,31,3,0.543,5,7,31.38,9.38,17,,32.5,116,,
Bryson Keeton,NYJ,CB,0,3,16,1,40,8,31,3,0.540,5,5,,,,,,,,
Claude Pelon,NYJ,DT,0,1,23,4,28,8,23,3,0.540,5,5,33.25,9.50,33,5.12,32.5,110,7.8,4.82
Jason Vander Laan,NYJ,QB,0,4,46,1,25,8,15,1,0.540,4,5,31.50,9.63,27,4.78,30.5,119,6.76,4.16
Tevin Jones,HOU,WR,0,2,50,2,65,8,31,3,0.540,5,0,,,,,,,,
Stefan McClure,IND,S,0,1,38,2,24,8,20,3,0.540,5,1,,,,,,,,
Tevaun Smith,IND,WR,0,1,47,1,61,8,31,4,0.540,5,1,31.63,9.75,13,4.41,38,122,6.68,4.27
Braedon Bowman,JAX,TE,0,2,23,4,25,8,11,0,0.540,5,8,31.38,9.88,26,4.67,35.5,114,7.1,4.37
Mehdi Abdesmad,TEN,DE,0,1,34,2,23,8,19,2,0.540,5,7,33.38,9.75,25,5.1,29.5,108,7.55,4.62
Alex Ellis,TEN,TE,0,1,26,2,25,8,11,0,0.540,2,7,32.13,9.50,20,4.79,34.5,121,6.87,4.37
Bralon Addison,DEN,WR,0,1,39,1,25,8,31,3,0.540,5,0,29.50,9.13,13,4.66,34.5,116,6.95,4.14
Vontarrius Dora,DEN,DE,0,2,46,2,23,8,19,7,0.540,5,0,,,,,,,,
Mose Frazier,DEN,WR,0,2,38,1,65,8,31,3,0.540,5,0,31.63,8.38,15,4.55,37,125,,
Henry KriegerCoble,DEN,TE,0,1,46,2,9,8,11,6,0.543,5,0,32.00,9.75,,4.91,33.5,110,7.16,4.48
KJ Brent,OAK,WR,0,1,49,2,65,8,31,5,0.540,5,13,31.63,9.75,6,4.54,34,118,6.89,4.3
Kenneth Durden,OAK,CB,0,3,30,2,40,8,31,12,0.540,5,13,,,,,,,,
Max McCaffrey,OAK,WR,0,1,53,1,65,8,31,5,0.540,5,13,32.50,9.00,9,4.46,36.5,122,7.09,4.15
Ryan O'Malley,OAK,TE,0,3,38,1,25,8,11,7,0.540,5,13,31.25,9.25,19,4.77,32,117,7.47,4.53
Ben Braunecker,CHI,TE,0,3,25,0,12,8,11,0,0.540,2,5,32.75,9.50,20,4.73,35.5,121,6.9,4.2
Taveze Calhoun,CHI,CB,0,1,50,1,25,8,31,1,0.540,5,5,31.88,9.00,14,4.58,33.5,116,6.99,4.5
Jace Billingsley,DET,WR,0,4,43,1,65,8,31,7,0.540,5,1,,,,,,,,
Cole Wick,DET,TE,0,2,38,1,25,8,11,3,0.543,5,1,33.75,10.38,14,4.93,36.5,125,7.16,4.32
Brandon Burks,GB,RB,0,2,44,1,36,8,20,1,0.540,5,0,30.00,8.25,24,4.56,37,120,6.88,4.18
Joe Callahan,GB,QB,0,4,44,2,26,8,15,6,0.540,5,0,30.25,9.50,18,4.98,33,107,7.47,4.7
Makinton Dorleant,GB,CB,0,3,52,2,40,8,31,6,0.495,5,0,,,16,4.4,39,123,7.03,4.45
Don Jackson,GB,RB,0,2,35,4,36,8,20,1,0.542,2,0,29.75,9.38,15,4.5,38.5,118,7.09,4.34
Herb Waters,GB,WR,0,1,49,1,65,8,31,5,0.540,5,0,32.63,9.25,14,4.51,38.5,121,6.73,4.1
Kyle Carter,MIN,TE,0,1,43,1,13,8,11,0,0.540,5,0,34.13,10.25,13,4.64,35.5,122,7.09,4.37
Marken Michel,MIN,WR,0,2,27,1,65,8,31,6,0.450,5,0,,,,,,,,
Rodney Coe,DAL,DT,0,2,24,4,28,8,23,12,0.540,5,1,32.88,9.75,,,,,,
Ed Eagan,DAL,WR,0,3,44,1,53,8,31,6,0.540,5,1,,,,,,,,
Donte Deayon,NYG,CB,0,2,40,1,37,8,31,2,0.540,5,4,29.38,8.50,12,4.57,37.5,127,6.78,4.2
Michael Hunter,NYG,CB,0,1,49,2,40,8,31,2,0.540,5,4,32.00,8.75,17,4.4,38.5,121,7.27,4.29
Ryan Malleck,NYG,TE,0,1,52,2,17,8,11,3,0.540,5,4,32.50,9.38,18,,34.5,121,7,4.33
Darius Powe,NYG,WR,0,1,46,1,65,8,31,0,0.540,4,4,,,,,,,,
Quentin Gause,PHI,LB,0,1,49,2,43,8,34,3,0.542,5,2,,,,,,,,
Dillon Gordon,PHI,TE,0,1,30,1,25,8,11,4,0.543,5,2,,,,,,,,
Hunter Sharp,PHI,WR,0,2,25,4,22,8,31,3,0.541,4,2,31.63,9.38,12,4.58,32.5,116,7.12,4.19
Joe Kerridge,WSH,FB,0,1,42,2,9,8,3,0,0.540,5,0,31.13,9.50,24,4.89,34.5,117,7.09,4.24
Nick Rose,ATL,K,0,1,51,1,5,8,1,1,0.540,4,3,,,,,,,,
Brandon Wilds,ATL,RB,0,1,42,2,28,8,20,2,0.540,5,3,32.00,10.25,21,4.54,36.5,118,7.08,4.33
Jake Lampman,NO,WR,0,4,48,2,65,8,31,1,0.540,5,2,,,,,,,,
Mitchell Loewen,NO,DE,0,1,36,2,23,8,19,1,0.542,5,2,34.13,9.88,30,,,,,
Alan Cross,TB,TE,0,2,49,2,25,8,11,0,0.495,4,10,31.75,9.25,17,4.84,30.5,109,7.44,4.58
Russell Hansbrough,TB,RB,0,1,48,1,36,8,20,1,0.540,5,10,,,,,,,,
Cassanova McKinzy,TB,LB,0,1,47,1,32,8,34,8,0.543,5,10,31.25,9.88,21,4.83,,118,7.5,4.37
Trevon Hartfield,ARZ,S,0,4,12,0,24,8,20,6,0.540,5,0,31.00,9.00,19,4.48,32.5,122,7.12,4.6
Givens Price,ARZ,T,0,1,24,1,31,8,20,3,0.540,5,0,34.25,10.38,24,5.08,32,110,7.48,4.64
Hakeem Valles,ARZ,TE,0,3,38,2,25,8,11,0,0.542,2,0,33.38,9.75,15,4.69,33.5,118,7.28,4.46
Aaron Green,LAR,RB,0,1,50,1,20,8,20,9,0.540,5,11,31.13,8.38,18,4.56,32.5,120,6.81,4.04
Paul McRoberts,LAR,WR,0,3,37,1,24,8,31,5,0.543,5,11,,,,,,,,
Pace Murphy,LAR,T,0,3,35,1,31,8,20,5,0.541,5,11,33.13,9.63,27,5.16,30,112,7.54,4.59
Kache Palacio,LAR,LB,0,1,50,1,43,8,34,3,0.540,5,11,32.50,10.00,21,4.78,34,119,,
Alex Balducci,SF,G,0,1,44,1,30,8,14,2,0.540,5,2,33.00,9.25,25,5.01,33,113,7.55,4.63
Wynton McManis,SF,LB,0,1,47,1,43,8,34,13,0.540,5,2,30.88,9.63,21,4.68,34.5,123,7.14,4.39
Trevone Boykin,SEA,QB,0,1,48,2,21,8,15,0,0.545,5,0,31.63,9.38,,4.77,32,110,,
Brandin Bryant,SEA,DT,0,2,43,1,28,8,23,4,0.540,5,0,31.50,10.50,38,4.88,28,111,7.27,4.35
Pete Robertson,SEA,LB,0,1,52,2,43,8,34,4,0.540,5,0,31.75,9.13,21,5.12,28.5,107,7.38,4.52
Taniela Tupou,SEA,FB,0,1,45,2,9,8,3,1,0.540,5,0,31.25,9.88,25,5.04,28.5,111,7.3,4.53
